chan_idx,lat,lon,depth,chan_m,utm_x,utm_y,x,y
4255.0,45.195355,-124.05136,-51.313282,8688.304446935654,417418.839179009,5005189.844364686,17807.24169650633,20078.33442370966
4256.0,45.195356,-124.05139,-51.310717,8690.346351623535,417416.48421731306,5005189.986138548,17809.596658202296,20078.476197571494
4257.0,45.195358,-124.05142,-51.310779,8692.388256311417,417414.1307022796,5005190.23900433,17811.95017323573,20078.7290633535
4258.0,45.195359,-124.05144,-51.312067,8694.430160999298,417412.5612101441,5005190.370551657,17813.519665371277,20078.860610680655
4259.0,45.195361,-124.05147,-51.316785,8696.47206568718,417410.2076953725,5005190.623418896,17815.873180142837,20079.113477920182
4260.0,45.195362,-124.05149,-51.32168,8698.513970375061,417408.6382033905,5005190.754967197,17817.44267212483,20079.245026220568
4261.0,45.195364,-124.05152,-51.332537,8700.555875062943,417406.2846888808,5005191.007835897,17819.796186634572,20079.49789492041
4262.0,45.195365,-124.05155,-51.347328,8702.597779750824,417403.92972777545,5005191.14961443,17822.151147739904,20079.639673453756
4263.0,45.195367,-124.05157,-51.360504,8704.639684438705,417402.36168280244,5005191.3922553295,17823.719192712917,20079.88231435325
4264.0,45.195368,-124.0516,-51.383832,8706.681589126587,417400.00672189204,5005191.534035321,17826.07415362331,20080.024094345048
4265.0,45.19537,-124.05162,-51.403151,8708.723493814468,417398.4386771355,5005191.776677194,17827.64219837985,20080.266736217774
4266.0,45.195371,-124.05165,-51.436495,8710.76539850235,417396.083716418,5005191.918458646,17829.997159097344,20080.408517669886
4267.0,45.195373,-124.05167,-51.462941,8712.807303190231,417394.51567188394,5005192.161101491,17831.565203631413,20080.651160514913
4268.0,45.195374,-124.0517,-51.507782,8714.849207878113,417392.16071135947,5005192.302884404,17833.92016415589,20080.79294342734
4269.0,45.195376,-124.05173,-51.560688,8716.891112565994,417389.8071979225,5005192.555759234,17836.273677592864,20081.045818258077
4270.0,45.195377,-124.05175,-51.600002,8718.933017253876,417388.2377067143,5005192.687312594,17837.843168801046,20081.177371617407
4271.0,45.195379,-124.05178,-51.664884,8720.974921941757,417385.88419354113,5005192.940188883,17840.196681974223,20081.430247906595
4272.0,45.19538,-124.0518,-51.711596,8723.016826629639,417384.3147024805,5005193.071743216,17841.766173034848,20081.56180224009
4273.0,45.195382,-124.05183,-51.786653,8725.05873131752,417381.9611895692,5005193.324620966,17844.11968594615,20081.81467998959
4274.0,45.195383,-124.05186,-51.866735,8727.100636005402,417379.6062296373,5005193.466408547,17846.474645878072,20081.956467570737
4275.0,45.195385,-124.05188,-51.923006,8729.142540693283,417378.03818601265,5005193.709055481,17848.042689502705,20082.19911450427
4276.0,45.195386,-124.05191,-52.010449,8731.184445381165,417375.68322627165,5005193.850844521,17850.397649243707,20082.3409035448
4277.0,45.195388,-124.05193,-52.070961,8733.226350069046,417374.1151828695,5005194.093492427,17851.96569264587,20082.583551450633
4278.0,45.195389,-124.05196,-52.163983,8735.268254756927,417371.7602233215,5005194.235282929,17854.320652193855,20082.725341952406
4279.0,45.19539,-124.05199,-52.259527,8737.310159444809,417369.4052638582,5005194.377074306,17856.67561165715,20082.867133329622
4280.0,45.195392,-124.05201,-52.324374,8739.35206413269,417367.8372207847,5005194.619723767,17858.24365473067,20083.109782790765
4281.0,45.195393,-124.05204,-52.422658,8741.393968820572,417365.4822615123,5005194.761516604,17860.598614003044,20083.251575627364
4282.0,45.195395,-124.05206,-52.488666,8743.435873508453,417363.9142186613,5005195.004167039,17862.16665685404,20083.49422606267
4283.0,45.195396,-124.05209,-52.587922,8745.477778196335,417361.5592595819,5005195.145961334,17864.521615933452,20083.63602035772
4284.0,45.195398,-124.05212,-52.686866,8747.519682884216,417359.20574813127,5005195.39884755,17866.87512738409,20083.888906573877
4285.0,45.195399,-124.05214,-52.75238,8749.561587572098,417357.6362580648,5005195.5304085,17868.44461745053,20084.020467523485
4286.0,45.195401,-124.05217,-52.849423,8751.60349225998,417355.282746876,5005195.783296173,17870.798128639348,20084.27335519716
4287.0,45.195402,-124.05219,-52.913103,8753.64539694786,417353.7132569612,5005195.914858096,17872.367618554155,20084.404917120002
4288.0,45.195404,-124.05222,-53.006494,8755.687301635742,417351.3597460322,5005196.167747231,17874.721129483136,20084.657806254923
4289.0,45.195405,-124.05224,-53.067174,8757.729206323624,417349.7902562709,5005196.299310126,17876.29061924445,20084.789369150065
4290.0,45.195407,-124.05227,-53.157598,8759.771111011505,417347.4367456058,5005196.552200721,17878.644129909575,20085.04225974437
4291.0,45.195408,-124.0523,-53.251379,8761.813015699387,417345.08178731194,5005196.6940011475,17880.999088203418,20085.184060171247
